# Server version 0.08 running on web112053.wireless.mcgill.ca:8123
# Game ID: 353
# Board class: halma.CCBoard
# Timeout: 3000
# Date: Thu Apr 10 19:12:05 EDT 2014
# Player 1: Player-0, 's260488774Player', running on web112053.wireless.mcgill.ca
# Player 2: Player-1, 's260488774Player', running on web112053.wireless.mcgill.ca
# Player 3: Player-2, 's260488774Player', running on web112053.wireless.mcgill.ca
# Player 4: Player-3, 's260488774Player', running on web112053.wireless.mcgill.ca
START Player-0 s260488774Player
START Player-1 s260488774Player
START Player-2 s260488774Player
START Player-3 s260488774Player
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 null null
1 (13,5) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,14) (1,14)
2 (1,14) (1,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,13)
3 null null
0 (1,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (3,1)
0 null null
1 (15,3) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 null null
3 (10,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (3,1) (3,3)
GAMEOVER 
WINNER Player-1
